"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17319103","17319103","100038602","Gm10865","predicted gene 10865",0.147348807279913,5.45250803242847,1.62806237340512,0.119543629180802,0.573403646867448,-4.66322895074607
"17307215","17307215","75965","Zdhhc20","zinc finger, DHHC domain containing 20",-0.199253934790371,7.98459977473862,-1.62805188958315,0.119545865594318,0.573403646867448,-4.66324333119575
"17350806","17350806","629147","Ctxn3","cortexin 3",0.0821052272277565,2.73811640100185,1.62786377110129,0.119586001116728,0.573403646867448,-4.66350135792994
"17468865","17468865","66098","Chchd6","coiled-coil-helix-coiled-coil-helix domain containing 6",0.187470430468976,4.07616714404885,1.62764975875656,0.11963167499075,0.573403646867448,-4.66379487434603
"17458962","17458962","67138","Herc6","hect domain and RLD 6",0.269781381547265,5.3518221032492,1.62761357982794,0.119639397644731,0.573403646867448,-4.66384449067035
"17233338","17233338","100502920","Gm16998","predicted gene, 16998",-0.150757058725751,3.58767675787715,-1.62757466769581,0.119647704190612,0.573403646867448,-4.66389785444045
"17410492","17410492","214133","Tet2","tet methylcytosine dioxygenase 2",-0.311940634561678,6.83410060633566,-1.6275182851462,0.119659740998393,0.573403646867448,-4.66397517531968
"17325324","17325324","268885","Stfa2l1","stefin A2 like 1",0.607154233794129,5.6171493202053,1.62739273654076,0.119686547369297,0.573403646867448,-4.66414734077385
"17414767","17414767","230279","Tmem268","transmembrane protein 268",-0.139454399654225,4.08549205931722,-1.62737146511638,0.119691089616097,0.573403646867448,-4.66417650941527
"17547398","17547398",NA,NA,NA,0.110225081695534,2.66859619748168,1.62733598778008,0.119698665681642,0.573403646867448,-4.66422515742011
"17302709","17302709",NA,NA,NA,0.196145632133014,2.90499817598524,1.62730365596233,0.119705570384937,0.573403646867448,-4.66426949147535
"17471248","17471248",NA,NA,NA,-0.104636601805282,2.60271951302905,-1.62725610045741,0.11971572683241,0.573403646867448,-4.66433469938043
"17322507","17322507","13419","Dnase1","deoxyribonuclease I",-0.21768668048546,4.23887529640983,-1.62719891918028,0.119727940023125,0.573403646867448,-4.66441310423679
"17214018","17214018","667931","Gm8883","predicted gene 8883",0.124789725944884,3.87716784049159,1.62716273255897,0.119735669566919,0.573403646867448,-4.66446272094312
"17481596","17481596","258488","Olfr474","olfactory receptor 474",-0.154609961068525,2.65921245756284,-1.62710286438732,0.11974845846831,0.573403646867448,-4.66454480643572
"17366874","17366874","100316663","Mir669k","microRNA 669k",-0.237389381526339,3.38472523951864,-1.62699561647317,0.119771371405033,0.573403646867448,-4.66469184889903
"17297391","17297391","18074","Nid2","nidogen 2",0.100797551287537,2.78693970722062,1.62697869419364,0.119774987096597,0.573403646867448,-4.6647150495687
"17236498","17236498",NA,NA,NA,-0.212503122941742,3.31026740108662,-1.62695272759569,0.11978053541775,0.573403646867448,-4.66475064977173
"17228426","17228426","74081","Cep350","centrosomal protein 350",-0.258455684612808,6.42507316795774,-1.62677950397138,0.119817553916467,0.573492069210086,-4.66498812858701
"17375373","17375373","12010","B2m","beta-2 microglobulin",-0.0893095414431802,12.3465058109288,-1.62660625022914,0.119854588512217,0.573500911060873,-4.66522562997962
"17289245","17289245","18420","Otp","orthopedia homeobox",-0.13155913850074,3.36188716003945,-1.62659732323831,0.119856497001144,0.573500911060873,-4.66523786685766
"17463617","17463617",NA,NA,NA,-0.13887663960619,3.20773448149619,-1.6260896909745,0.11996506521142,0.573852592018025,-4.66593363370393
"17405908","17405908","12038","Bche","butyrylcholinesterase",0.0957318177187179,2.70488032724281,1.62600841094772,0.119982456422388,0.573852592018025,-4.666045022154
"17246390","17246390",NA,NA,NA,-0.122915936110085,2.42188645627969,-1.62599337922124,0.119985672942967,0.573852592018025,-4.6660656216061
"17514615","17514615","76669","1700128F08Rik","U1-snRNP binding protein homolog pseudogene",-0.123440428183902,2.23910727430862,-1.62587977471495,0.120009984629003,0.573880099710606,-4.6662213004685
